"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300027",75,201586,"Serge","Ibaka","MIN","OKC","2013-11-01","MISS Ibaka 17' Jump Shot",1.322,-29.376,15.42,11.231,136,99,16,"JMP","RC","MR"
"0021300027",79,201586,"Serge","Ibaka","MIN","OKC","2013-11-01","MISS Ibaka 7' Turnaround Hook Shot",1.513,-32.226,12.939,33.689,-59,41,7,"THS","C","PNT"
"0021300029",460,203080,"Thomas","Robinson","DEN","POR","2013-11-01","MISS Robinson 15' Jump Shot",2.561,-33.002,9.708,10.438,138,69,15,"JMP","R","MR"
"0021300030",145,202330,"Gordon","Hayward","PHX","UTA","2013-11-01","MISS Hayward 21' Jump Shot",1.414,-31.989,22.297,39.041,-168,126,21,"JMP","LC","MR"
"0021300032",14,2200,"Pau","Gasol","LAL","SAS","2013-11-01","MISS Gasol 26' 3PT Jump Shot",1.785,-31.273,64.674,25.518,-10,257,25,"JMP","C","AB3"
"0021300032",178,200770,"Jordan","Farmar","LAL","SAS","2013-11-01","MISS Farmar 27' 3PT Jump Shot",1.734,-31.564,78.152,46.242,170,205,26,"JMP","RC","AB3"
"0021300033",415,101139,"CJ","Miles","IND","CLE","2013-11-02","MISS Miles 25' 3PT Jump Shot",1.176,-32.76,28.73,18.745,-15,249,24,"JMP","C","AB3"
"0021300033",475,203142,"Chris","Copeland","IND","CLE","2013-11-02","MISS Copeland  3PT Jump Shot",1.289,-31.507,87.364,4.564,-232,14,23,"JMP","L","LC3"
"0021300034",192,203100,"Tony","Wroten","PHI","CHI","2013-11-02","MISS Wroten 27' 3PT Jump Shot",1.593,-32.074,24.754,40.534,-168,216,27,"JMP","LC","AB3"
"0021300034",335,2430,"Carlos","Boozer","PHI","CHI","2013-11-02","MISS Boozer 12' Jump Shot",1.356,-29.907,13.299,11.492,114,45,12,"JMP","R","MR"
"0021300034",350,2550,"Kirk","Hinrich","PHI","CHI","2013-11-02","MISS Hinrich 25' 3PT Jump Shot",1.479,-31.015,28.598,25.363,23,252,25,"JMP","C","AB3"
"0021300035",514,201945,"Gerald","Henderson","NOP","CHA","2013-11-02","MISS Henderson 21' Jump Shot",1.65,-32.004,18.157,6.891,118,178,21,"JMP","RC","MR"
"0021300036",107,203539,"Gal","Mekel","DAL","MEM","2013-11-02","MISS Mekel 25' 3PT Jump Shot",1.878,-31.821,16.384,44.937,-210,131,24,"JMP","LC","AB3"
"0021300036",13,1890,"Shawn","Marion","DAL","MEM","2013-11-02","MISS Marion 6' Turnaround Jump Shot",6.138,-28.186,5.859,25.418,-41,47,6,"TAJ","C","PNT"
